UID,WID,Understand,attempt,time,distance
60911043,54,3,1,33184,4162.87
60911043,58,2,1,56320,8487.8
60911043,59,4,1,17567,3499.73
60911043,60,2,1,25554,3957.43
60911043,61,4,1,42388,5129.02
60911043,67,4,1,14879,2861.8
60911043,68,2,1,46497,3734.31
60911043,76,2,1,113869,8728.26
60911043,89,3,1,51072,6085.11
60911043,92,3,1,35966,4265.12
60911043,99,3,1,64095,6785.31
60911043,127,4,1,81985,6342.54
60911043,129,4,1,30170,4298.61
60911043,138,3,1,44408,4426.38
60911043,139,3,1,47316,5210.7
60911043,141,2,1,58664,5259.52
60911043,143,4,1,15720,3105.24
60911043,147,2,1,339101,24636.3
60911043,160,2,1,176179,11802.1
60911043,161,2,1,163729,8926.1
60911043,162,3,1,24497,2312.89
60911043,176,3,1,31594,4570.13
60911043,181,3,1,36896,4970.33
60911043,184,2,1,96993,5766.96
60911043,186,2,1,93255,7114.02
60911043,191,4,1,24424,3309.57
60911060,22,4,1,18703,3444.3
60911060,32,3,1,26142,4853.57
60911060,45,3,1,32505,4126.64
60911060,46,3,1,25205,3997.15
60911060,54,2,1,69246,10328.1
60911060,58,3,1,26832,5422.25
60911060,59,2,1,36313,4401.52
60911060,60,2,1,49280,5230.31
60911060,61,2,1,69822,9210.66
60911060,67,4,1,32321,5723.59
60911060,68,4,1,31558,5526.35
60911060,76,2,1,65204,7510.24
60911060,89,3,1,39458,5452.95
60911060,92,3,1,33137,5945.72
60911060,99,2,1,95731,8443.99
